relationship_id,skill_a_id,skill_b_id,skill_a_name,skill_b_name,relationship_type,confidence,composite_score,recommended_action,priority,priority_score,rationale
REL-7efbc99c-f800-493b-b998-851dcf90b1e8-f72459b6-0171-421e-8965-4e69d802a7a6,f72459b6-0171-421e-8965-4e69d802a7a6,7efbc99c-f800-493b-b998-851dcf90b1e8,Introduce events in first-grade narrative writing,Introduce characters in seventh-grade narrative writing,DISTINCT,0.9,0.40199999999999997,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-60deaa83-2837-494b-89ce-23db61b85d60-b24e6593-bb73-4a71-82ad-588aea209df2,b24e6593-bb73-4a71-82ad-588aea209df2,60deaa83-2837-494b-89ce-23db61b85d60,Use precise words and phrases to convey experiences and events in seventh-grade narrative writing,Use sensory language to convey experiences and events in eighth-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.525,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-3cbec51a-a39f-e311-9503-005056801da1-cee82c62-86c3-437d-a1a8-aa75a229fbfd,cee82c62-86c3-437d-a1a8-aa75a229fbfd,3cbec51a-a39f-e311-9503-005056801da1,Answer a question using information from an object graph,Answer a question using information from a histogram,DISTINCT,0.9,0.348,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-0913e480-f95c-4e70-9ec2-35871a079d7d-1b1a295a-edd0-432c-860f-6c9f6e95c559,1b1a295a-edd0-432c-860f-6c9f6e95c559,0913e480-f95c-4e70-9ec2-35871a079d7d,Provide closure to events in first-grade narrative writing,Provide a conclusion in eighth-grade narrative writing,DISTINCT,0.9,0.39,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-8ebac51a-a39f-e311-9503-005056801da1-cee82c62-86c3-437d-a1a8-aa75a229fbfd,cee82c62-86c3-437d-a1a8-aa75a229fbfd,8ebac51a-a39f-e311-9503-005056801da1,Answer a question using information from an object graph,"Answer a question using an ordinal number up to ""twentieth""",DISTINCT,0.9,0.26,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-299e223b-8b4c-43dc-ab4a-6993564eb1e9-ce60c209-67eb-4741-8849-831a9573b70a,299e223b-8b4c-43dc-ab4a-6993564eb1e9,ce60c209-67eb-4741-8849-831a9573b70a,"Use description to develop experiences, events, and/or characters in seventh-grade narrative writing","Use character reflection, such as internal dialogue and introspection, to develop experiences, events, and/or characters in eighth-grade narrative writing",DISTINCT,0.9,0.39545454545454545,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-88dcca79-c412-4341-9932-57d0a2596c12-e2f4d211-5f21-4bfc-b897-fafe0f00a74e,e2f4d211-5f21-4bfc-b897-fafe0f00a74e,88dcca79-c412-4341-9932-57d0a2596c12,Use transitions to sequence events in seventh-grade narrative writing,Use transitions to sequence events in eighth-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.6000000000000001,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-297fe757-9096-431a-aa5a-6f31b0d532ad-863dc4aa-5ab1-4972-88db-dcb4666bacd7,863dc4aa-5ab1-4972-88db-dcb4666bacd7,297fe757-9096-431a-aa5a-6f31b0d532ad,"Compose a narrative appropriate to task, audience, and purpose in response to a prompt based on seventh-grade reading","Compose a narrative appropriate to task, audience, and purpose in response to a prompt based on eighth-grade reading",COMPLEMENTARY,0.5599999999999999,0.5700000000000001,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-1380d921-53c3-4c89-82d8-24bf2f082431-4e9858e9-9d72-4250-a6c5-a8486d621541,1380d921-53c3-4c89-82d8-24bf2f082431,4e9858e9-9d72-4250-a6c5-a8486d621541,Describe thoughts in second-grade narrative writing,Describe part-part-whole relationships for numbers up to 20,DISTINCT,0.9,0.24000000000000002,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-a072d817-17d7-491e-81b2-f23fdf9ab821-ef7b3141-0b79-4ad0-9a98-4c644ff925a9,a072d817-17d7-491e-81b2-f23fdf9ab821,ef7b3141-0b79-4ad0-9a98-4c644ff925a9,Use transitions to signal new settings in seventh-grade narrative writing,Use transitions to signal time shifts in seventh-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.5485714285714285,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-98117de8-1e18-4dca-8838-a4d2b4eb978f-fabdc51a-a39f-e311-9503-005056801da1,98117de8-1e18-4dca-8838-a4d2b4eb978f,fabdc51a-a39f-e311-9503-005056801da1,Answer a question using information from a picture graph (1 symbol = 1 object),Answer a question using information from a bar graph,COMPLEMENTARY,0.5599999999999999,0.5014285714285714,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-88dcca79-c412-4341-9932-57d0a2596c12-a072d817-17d7-491e-81b2-f23fdf9ab821,a072d817-17d7-491e-81b2-f23fdf9ab821,88dcca79-c412-4341-9932-57d0a2596c12,Use transitions to signal new settings in seventh-grade narrative writing,Use transitions to sequence events in eighth-grade narrative writing,DISTINCT,0.9,0.48,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-2716e1b1-5870-432d-bbe8-cc2fedf4be33-ef0b6ac3-ddcf-4a54-9362-da39b5ff709a,2716e1b1-5870-432d-bbe8-cc2fedf4be33,ef0b6ac3-ddcf-4a54-9362-da39b5ff709a,"Use dialogue to develop experiences, events, and/or characters in seventh-grade narrative writing","Use description to develop experiences, events, and/or characters in eighth-grade narrative writing",DISTINCT,0.9,0.45,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-a6458c8e-6426-49f9-b3d6-1857f2bc458f-cee82c62-86c3-437d-a1a8-aa75a229fbfd,cee82c62-86c3-437d-a1a8-aa75a229fbfd,a6458c8e-6426-49f9-b3d6-1857f2bc458f,Answer a question using information from an object graph,Answer a question using information from a data representation,DISTINCT,0.9,0.33999999999999997,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-39bec51a-a39f-e311-9503-005056801da1-98117de8-1e18-4dca-8838-a4d2b4eb978f,98117de8-1e18-4dca-8838-a4d2b4eb978f,39bec51a-a39f-e311-9503-005056801da1,Answer a question using information from a picture graph (1 symbol = 1 object),Answer a question using information from a circle graph using percentage calculations,DISTINCT,0.9,0.33999999999999997,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-1b1a295a-edd0-432c-860f-6c9f6e95c559-92d7d03c-e87d-40ce-b421-6ef7ebb2f035,1b1a295a-edd0-432c-860f-6c9f6e95c559,92d7d03c-e87d-40ce-b421-6ef7ebb2f035,Provide closure to events in first-grade narrative writing,Provide a sense of closure in second-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.53,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-49addd3f-1aa8-48c4-8caf-3a9a567fd014-4e9858e9-9d72-4250-a6c5-a8486d621541,49addd3f-1aa8-48c4-8caf-3a9a567fd014,4e9858e9-9d72-4250-a6c5-a8486d621541,Describe actions in second-grade narrative writing,Describe part-part-whole relationships for numbers up to 20,DISTINCT,0.9,0.27,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-03bec51a-a39f-e311-9503-005056801da1-f1bdc51a-a39f-e311-9503-005056801da1,f1bdc51a-a39f-e311-9503-005056801da1,03bec51a-a39f-e311-9503-005056801da1,Answer a question using information from a 2-category tally chart,"Answer a question using information from a bar graph with a y-axis scale by 2s, 5s, or 10s",DISTINCT,0.9,0.35400000000000004,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-00bec51a-a39f-e311-9503-005056801da1-f4bdc51a-a39f-e311-9503-005056801da1,f4bdc51a-a39f-e311-9503-005056801da1,00bec51a-a39f-e311-9503-005056801da1,Answer a question using information from a picture graph,Answer a question using information from a pictograph (1 symbol = more than 1 object),DISTINCT,0.9,0.36,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-1b1a295a-edd0-432c-860f-6c9f6e95c559-9fedf7e5-d566-4acb-ac10-59be82be7b17,1b1a295a-edd0-432c-860f-6c9f6e95c559,9fedf7e5-d566-4acb-ac10-59be82be7b17,Provide closure to events in first-grade narrative writing,Provide a conclusion in seventh-grade narrative writing,DISTINCT,0.9,0.39,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-950d2184-81cf-4adf-b512-316a433deefd-f72459b6-0171-421e-8965-4e69d802a7a6,f72459b6-0171-421e-8965-4e69d802a7a6,950d2184-81cf-4adf-b512-316a433deefd,Introduce events in first-grade narrative writing,Introduce a narrator in seventh-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.522,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-950d2184-81cf-4adf-b512-316a433deefd-ba106fea-64d7-4219-8575-d96b1d1002e9,950d2184-81cf-4adf-b512-316a433deefd,ba106fea-64d7-4219-8575-d96b1d1002e9,Introduce a narrator in seventh-grade narrative writing,Introduce characters in eighth-grade narrative writing,DISTINCT,0.9,0.432,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-b24e6593-bb73-4a71-82ad-588aea209df2-b37804e5-0959-4592-8e3a-0f7ae126799a,b24e6593-bb73-4a71-82ad-588aea209df2,b37804e5-0959-4592-8e3a-0f7ae126799a,Use precise words and phrases to convey experiences and events in seventh-grade narrative writing,Use precise words and phrases to convey experiences and events in eighth-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.693,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-60deaa83-2837-494b-89ce-23db61b85d60-b37804e5-0959-4592-8e3a-0f7ae126799a,60deaa83-2837-494b-89ce-23db61b85d60,b37804e5-0959-4592-8e3a-0f7ae126799a,Use sensory language to convey experiences and events in eighth-grade narrative writing,Use precise words and phrases to convey experiences and events in eighth-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.525,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-558c10db-6b9f-491d-a8ee-236525ed7959-f1bdc51a-a39f-e311-9503-005056801da1,f1bdc51a-a39f-e311-9503-005056801da1,558c10db-6b9f-491d-a8ee-236525ed7959,Answer a question using information from a 2-category tally chart,Answer a question using information from box plots,DISTINCT,0.9,0.36428571428571427,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-1cd035ac-484d-4560-85e5-6dfa56cf3295-f72459b6-0171-421e-8965-4e69d802a7a6,f72459b6-0171-421e-8965-4e69d802a7a6,1cd035ac-484d-4560-85e5-6dfa56cf3295,Introduce events in first-grade narrative writing,Introduce a narrator in eighth-grade narrative writing,COMPLEMENTARY,0.5599999999999999,0.522,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-4bbec51a-a39f-e311-9503-005056801da1-f4bdc51a-a39f-e311-9503-005056801da1,f4bdc51a-a39f-e311-9503-005056801da1,4bbec51a-a39f-e311-9503-005056801da1,Answer a question using information from a picture graph,Answer a question using information from a scatter plot,DISTINCT,0.9,0.37,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-f1bdc51a-a39f-e311-9503-005056801da1-fdbdc51a-a39f-e311-9503-005056801da1,f1bdc51a-a39f-e311-9503-005056801da1,fdbdc51a-a39f-e311-9503-005056801da1,Answer a question using information from a 2-category tally chart,Answer a question using information from a tally chart,COMPLEMENTARY,0.5599999999999999,0.552,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-299e223b-8b4c-43dc-ab4a-6993564eb1e9-ef0b6ac3-ddcf-4a54-9362-da39b5ff709a,299e223b-8b4c-43dc-ab4a-6993564eb1e9,ef0b6ac3-ddcf-4a54-9362-da39b5ff709a,"Use description to develop experiences, events, and/or characters in seventh-grade narrative writing","Use description to develop experiences, events, and/or characters in eighth-grade narrative writing",COMPLEMENTARY,0.5599999999999999,0.6000000000000001,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-43e12150-69ef-4beb-a799-9dbca036639d-c1d97f7b-684f-4921-91f3-9f7ff30279f4,c1d97f7b-684f-4921-91f3-9f7ff30279f4,43e12150-69ef-4beb-a799-9dbca036639d,Use temporal words to signal the order of events in first-grade narrative writing,Use transitions to signal time shifts in eighth-grade narrative writing,DISTINCT,0.9,0.45999999999999996,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-01bec51a-a39f-e311-9503-005056801da1-f2bdc51a-a39f-e311-9503-005056801da1,f2bdc51a-a39f-e311-9503-005056801da1,01bec51a-a39f-e311-9503-005056801da1,Read a picture graph,"Read a bar graph with a <i>y</i>-axis scale by 2s, 5s, or 10s",DISTINCT,0.9,0.49999999999999994,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-00bec51a-a39f-e311-9503-005056801da1-f7bdc51a-a39f-e311-9503-005056801da1,f7bdc51a-a39f-e311-9503-005056801da1,00bec51a-a39f-e311-9503-005056801da1,Answer a question using information from a pictograph (1 symbol = 1 object),Answer a question using information from a pictograph (1 symbol = more than 1 object),DISTINCT,0.9,0.43,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
REL-cee82c62-86c3-437d-a1a8-aa75a229fbfd-f7bdc51a-a39f-e311-9503-005056801da1,cee82c62-86c3-437d-a1a8-aa75a229fbfd,f7bdc51a-a39f-e311-9503-005056801da1,Answer a question using information from an object graph,Answer a question using information from a pictograph (1 symbol = 1 object),COMPLEMENTARY,0.5599999999999999,0.51,CAPTURE_RELATIONSHIP,P3,0.393,Related skills that support each other but remain distinct
